0.0, -65.0
0.02, -64.9994
0.04, -64.9987
0.06, -64.9981
0.08, -64.9975
0.1, -64.9969
0.12, -64.9962
0.14, -64.9956
0.16, -64.995
0.18, -64.9945
0.2, -64.9939
0.22, -64.9933
0.24, -64.9927
0.26, -64.9921
0.28, -64.9916
0.3, -64.991
0.32, -64.9905
0.34, -64.9899
0.36, -64.9894
0.38, -64.9888
0.4, -64.9883
0.42, -64.9877
0.44, -64.9872
0.46, -64.9867
0.48, -64.9861
0.5, -64.9856
0.52, -64.9851
0.54, -64.9846
0.56, -64.9841
0.58, -64.9836
0.6, -64.9831
0.62, -64.9826
0.64, -64.9821
0.66, -64.9816
0.68, -64.9811
0.7, -64.9806
0.72, -64.9801
0.74, -64.9796
0.76, -64.9792
0.78, -64.9787
0.8, -64.9782
0.82, -64.9777
0.84, -64.9773
0.86, -64.9768
0.88, -64.9764
0.9, -64.9759
0.92, -64.9755
0.94, -64.975
0.96, -64.9746
0.98, -64.9741
1.0, -64.9737
1.02, -64.9733
1.04, -64.9728
1.06, -64.9724
1.08, -64.972
1.1, -64.9715
1.12, -64.9711
1.14, -64.9707
1.16, -64.9703
1.18, -64.9699
1.2, -64.9695
1.22, -64.9691
1.24, -64.9687
1.26, -64.9683
1.28, -64.9679
1.3, -64.9675
1.32, -64.9671
1.34, -64.9667
1.36, -64.9664
1.38, -64.966
1.4, -64.9656
1.42, -64.9653
1.44, -64.9649
1.46, -64.9645
1.48, -64.9642
1.5, -64.9638
1.52, -64.9635
1.54, -64.9631
1.56, -64.9628
1.58, -64.9624
1.6, -64.9621
1.62, -64.9618
1.64, -64.9614
1.66, -64.9611
1.68, -64.9608
1.7, -64.9604
1.72, -64.9601
1.74, -64.9598
1.76, -64.9595
1.78, -64.9592
1.8, -64.9589
1.82, -64.9586
1.84, -64.9583
1.86, -64.958
1.88, -64.9577
1.9, -64.9574
1.92, -64.9571
1.94, -64.9568
1.96, -64.9566
1.98, -64.9563
2.0, -64.956
2.02, -64.9557
2.04, -64.9555
2.06, -64.9552
2.08, -64.955
2.1, -64.9547
2.12, -64.9544
2.14, -64.9542
2.16, -64.954
2.18, -64.9537
2.2, -64.9535
2.22, -64.9532
2.24, -64.953
2.26, -64.9528
2.28, -64.9525
2.3, -64.9523
2.32, -64.9521
2.34, -64.9519
2.36, -64.9517
2.38, -64.9515
2.4, -64.9512
2.42, -64.951
2.44, -64.9508
2.46, -64.9506
2.48, -64.9504
2.5, -64.9502
2.52, -64.9501
2.54, -64.9499
2.56, -64.9497
2.58, -64.9495
2.6, -64.9493
2.62, -64.9492
2.64, -64.949
2.66, -64.9488
2.68, -64.9486
2.7, -64.9485
2.72, -64.9483
2.74, -64.9482
2.76, -64.948
2.78, -64.9479
2.8, -64.9477
2.82, -64.9476
2.84, -64.9474
2.86, -64.9473
2.88, -64.9472
2.9, -64.947
2.92, -64.9469
2.94, -64.9468
2.96, -64.9466
2.98, -64.9465
3.0, -64.9464
3.02, -64.9463
3.04, -64.9462
3.06, -64.946
3.08, -64.9459
3.1, -64.9458
3.12, -64.9457
3.14, -64.9456
3.16, -64.9455
3.18, -64.9454
3.2, -64.9453
3.22, -64.9453
3.24, -64.9452
3.26, -64.9451
3.28, -64.945
3.3, -64.9449
3.32, -64.9448
3.34, -64.9448
3.36, -64.9447
3.38, -64.9446
3.4, -64.9446
3.42, -64.9445
3.44, -64.9444
3.46, -64.9444
3.48, -64.9443
3.5, -64.9443
3.52, -64.9442
3.54, -64.9442
3.56, -64.9441
3.58, -64.9441
3.6, -64.944
3.62, -64.944
3.64, -64.944
3.66, -64.9439
3.68, -64.9439
3.7, -64.9439
3.72, -64.9438
3.74, -64.9438
3.76, -64.9438
3.78, -64.9438
3.8, -64.9437
3.82, -64.9437
3.84, -64.9437
3.86, -64.9437
3.88, -64.9437
3.9, -64.9437
3.92, -64.9437
3.94, -64.9437
3.96, -64.9437
3.98, -64.9437
4.0, -64.9437
4.02, -64.9437
4.04, -64.9437
4.06, -64.9437
4.08, -64.9437
4.1, -64.9437
4.12, -64.9437
4.14, -64.9437
4.16, -64.9438
4.18, -64.9438
4.2, -64.9438
4.22, -64.9438
4.24, -64.9439
4.26, -64.9439
4.28, -64.9439
4.3, -64.9439
4.32, -64.944
4.34, -64.944
4.36, -64.9441
4.38, -64.9441
4.4, -64.9441
4.42, -64.9442
4.44, -64.9442
4.46, -64.9443
