0   6.297540267041768E-9 		
4.84144	  6.367860017064686E-9		
18.61798  7.197040297057811E-9  		
54.37891  1.825000239819019E-8 			
65.99465   2.8399600893180832E-8   	
75.374374  4.037710255033744E-8  	
78.69695  4.525960051182665E-8			
81.04637  4.922770102666618E-8  	
81.93566  5.0482704239129816E-8 		
85.12551  5.6040203588736404E-8			
85.49272  5.67581039945253E-8 		 
97.00196   7.523680523036091E-8 	
98.72658   7.778930211088664E-8 		
108.08942   8.799340633913744E-8  	
114.30475  9.266720724099287E-8    	
