0	-65
0.025	-65.0193
0.05	-65.0361
0.075	-65.0516
0.1	-65.066
0.125	-65.0796
0.15	-65.0925
0.175	-65.1047
0.2	-65.1162
0.225	-65.1271
0.25	-65.1375
0.275	-65.1472
0.3	-65.1565
0.325	-65.1653
0.35	-65.1737
0.375	-65.1816
0.4	-65.189
0.425	-65.1961
0.45	-65.2028
0.475	-65.2091
0.5	-65.2151
0.525	-65.2207
0.55	-65.226
0.575	-65.231
0.6	-65.2357
0.625	-65.2401
0.65	-65.2442
0.675	-65.248
0.7	-65.2516
0.725	-65.2549
0.75	-65.258
0.775	-65.2608
0.8	-65.2634
0.825	-65.2657
0.85	-65.2678
0.875	-65.2697
0.9	-65.2714
0.925	-65.2729
0.95	-65.2741
0.975	-65.2752
1	-65.276
1.025	-65.2767
1.05	-65.2772
1.075	-65.2775
1.1	-65.2776
1.125	-65.2775
1.15	-65.2773
1.175	-65.2769
1.2	-65.2763
1.225	-65.2755
1.25	-65.2746
1.275	-65.2735
1.3	-65.2723
1.325	-65.2709
1.35	-65.2694
1.375	-65.2677
1.4	-65.2659
1.425	-65.264
1.45	-65.2619
1.475	-65.2596
1.5	-65.2572
1.525	-65.2547
1.55	-65.2521
1.575	-65.2494
1.6	-65.2465
1.625	-65.2435
1.65	-65.2403
1.675	-65.2371
1.7	-65.2337
1.725	-65.2302
1.75	-65.2266
1.775	-65.2229
1.8	-65.2191
1.825	-65.2152
1.85	-65.2112
1.875	-65.2071
1.9	-65.2028
1.925	-65.1985
1.95	-65.1941
1.975	-65.1896
2	-65.1849
2.025	-65.1802
2.05	-65.1754
2.075	-65.1705
2.1	-65.1656
2.125	-65.1605
2.15	-65.1554
2.175	-65.1501
2.2	-65.1448
2.225	-65.1394
2.25	-65.134
2.275	-65.1284
2.3	-65.1228
2.325	-65.1171
2.35	-65.1113
2.375	-65.1055
2.4	-65.0995
2.425	-65.0936
2.45	-65.0875
2.475	-65.0814
2.5	-65.0752
2.525	-65.0689
2.55	-65.0626
2.575	-65.0562
2.6	-65.0498
2.625	-65.0433
2.65	-65.0368
2.675	-65.0301
2.7	-65.0235
2.725	-65.0167
2.75	-65.0099
2.775	-65.0031
2.8	-64.9962
2.825	-64.9893
2.85	-64.9823
2.875	-64.9752
2.9	-64.9682
2.925	-64.961
2.95	-64.9538
2.975	-64.9466
3	-64.9393
3.025	-64.932
3.05	-64.9246
3.075	-64.9172
3.1	-64.9098
3.125	-64.9023
3.15	-64.8948
3.175	-64.8872
3.2	-64.8796
3.225	-64.872
3.25	-64.8643
3.275	-64.8566
3.3	-64.8488
3.325	-64.841
3.35	-64.8332
3.375	-64.8254
3.4	-64.8175
3.425	-64.8096
3.45	-64.8016
3.475	-64.7937
3.5	-64.7857
3.525	-64.7776
3.55	-64.7696
3.575	-64.7615
3.6	-64.7534
3.625	-64.7452
3.65	-64.7371
3.675	-64.7289
3.7	-64.7207
3.725	-64.7124
3.75	-64.7042
3.775	-64.6959
3.8	-64.6876
3.825	-64.6793
3.85	-64.6709
3.875	-64.6626
3.9	-64.6542
3.925	-64.6458
3.95	-64.6373
3.975	-64.6289
4	-64.6205
4.025	-64.612
4.05	-64.6035
4.075	-64.595
4.1	-64.5865
4.125	-64.5779
4.15	-64.5694
4.175	-64.5608
4.2	-64.5522
4.225	-64.5437
4.25	-64.5351
4.275	-64.5264
4.3	-64.5178
4.325	-64.5092
4.35	-64.5005
4.375	-64.4919
4.4	-64.4832
4.425	-64.4745
4.45	-64.4659
4.475	-64.4572
4.5	-64.4485
4.525	-64.4398
4.55	-64.4311
4.575	-64.4223
4.6	-64.4136
4.625	-64.4049
4.65	-64.3961
4.675	-64.3874
4.7	-64.3786
4.725	-64.3699
4.75	-64.3611
4.775	-64.3524
4.8	-64.3436
4.825	-64.3348
4.85	-64.326
4.875	-64.3173
4.9	-64.3085
4.925	-64.2997
4.95	-64.2909
4.975	-64.2822
5	-64.2734
5.025	-64.2646
